layer,bn,coefficient_of_correlation
Encoder_4,no,0.2681
Encoder_4,no,0.2455
Encoder_4,no,0.445
Encoder_4,no,0.7434
Encoder_4,no,0.4123
Encoder_4,no,0.3682
Encoder_4,no,0.3987
Encoder_4,no,0.3148
Encoder_4,no,0.4428
Encoder_4,no,0.3707
Encoder_4,no,0.5315
Encoder_4,no,0.3327
Encoder_4,no,0.7214
Encoder_4,no,0.417
Encoder_4,no,0.6183
Encoder_4,no,0.3883
Encoder_4,no,0.4797
Encoder_4,no,0.6205
Encoder_4,no,0.4823
Encoder_4,no,0.4727
Encoder_4,no,0.135
Encoder_4,no,0.4569
Encoder_4,no,0.384
Encoder_4,no,0.6642
Encoder_4,no,0.1754
Encoder_4,no,0.5828
Encoder_4,no,0.6554
Encoder_4,no,0.5128
Encoder_4,no,0.2947
Encoder_4,no,0.5505
Encoder_4,no,0.7256
Encoder_4,no,0.3209
Encoder_4,no,0.5022
Encoder_4,no,0.174
Encoder_4,no,0.3395
Encoder_4,no,0.4412
Encoder_4,no,0.594
Encoder_4,no,0.5635
Encoder_4,no,0.3947
Encoder_4,no,-0.2485
Encoder_4,no,0.3758
Encoder_4,no,0.3846
Encoder_4,no,0.0216
Encoder_4,no,0.3568
Encoder_4,no,0.6121
Encoder_4,no,0.5252
Encoder_4,no,0.638
Encoder_4,no,0.6216
Encoder_4,no,0.4571
Encoder_4,no,0.1253
Encoder_4,no,0.3423
Encoder_4,no,0.2233
Encoder_4,no,0.2124
Encoder_4,no,0.3889
Encoder_4,no,0.197
Encoder_4,no,0.2346
Encoder_4,no,-0.0377
Encoder_4,no,0.265
Encoder_4,no,0.6197
Encoder_4,no,0.4401
Encoder_4,no,0.5363
Encoder_4,no,0.3026
Encoder_4,no,0.5546
Encoder_4,no,0.2639
Encoder_4,no,0.5241
Encoder_4,no,0.6892
Encoder_4,no,0.3478
Encoder_4,no,0.6813
Encoder_4,no,0.4757
Encoder_4,no,0.6446
Encoder_4,no,0.4268
Encoder_4,no,0.2087
Encoder_4,no,0.5462
Encoder_4,no,0.2958
Encoder_4,no,0.7306
Encoder_4,no,0.3317
Encoder_4,no,0.461
Encoder_4,no,0.6021
Encoder_4,no,0.4449
Encoder_4,no,0.1651
Encoder_4,no,0.7548
Encoder_4,no,0.3461
Encoder_4,no,0.4476
Encoder_4,no,0.6082
Encoder_4,no,0.5975
Encoder_4,no,0.613
Encoder_4,no,0.4282
Encoder_4,no,0.3196
Encoder_4,no,0.4989
Encoder_4,no,0.5211
Encoder_4,no,0.3114
Encoder_4,no,0.2845
Encoder_4,no,0.2766
Encoder_4,no,0.277
Encoder_4,no,0.3936
Encoder_4,no,0.5049
Encoder_4,no,0.4895
Encoder_4,no,0.4383
Encoder_4,no,0.2281
Encoder_4,no,0.3634
Encoder_4,no,0.6343
Encoder_4,no,0.1844
Encoder_4,no,0.7239
Encoder_4,no,0.18
Encoder_4,no,0.4225
Encoder_4,no,0.4528
Encoder_4,no,0.0005
Encoder_4,no,0.4051
Encoder_4,no,0.488
Encoder_4,no,0.2376
Encoder_4,no,0.8555
Encoder_4,no,0.9045
Encoder_4,no,0.2886
Encoder_4,no,0.4516
Encoder_4,no,0.4517
Encoder_4,no,0.5461
Encoder_4,no,0.3476
Encoder_4,no,0.5332
Encoder_4,no,0.4974
Encoder_4,no,0.3038
Encoder_4,no,0.374
Encoder_4,no,0.3542
Encoder_4,no,0.4234
Encoder_4,no,0.6584
Encoder_4,no,0.3168
Encoder_4,no,0.336
Encoder_4,no,0.7406
Encoder_4,no,0.6923
Encoder_4,no,0.3527
Encoder_4,no,0.2062
Encoder_4,no,0.4787
Encoder_4,no,0.4207
Encoder_4,no,0.2889
Encoder_4,no,0.428
Encoder_4,no,0.1168
Encoder_4,no,0.2238
Encoder_4,no,0.4717
Encoder_4,no,0.245
Encoder_4,no,0.4898
Encoder_4,no,0.3653
Encoder_4,no,0.4892
Encoder_4,no,0.4402
Encoder_4,no,0.3059
Encoder_4,no,0.3581
Encoder_4,no,-0.215
Encoder_4,no,0.7909
Encoder_4,no,0.4679
Encoder_4,no,0.7405
Encoder_4,no,0.3908
Encoder_4,no,0.2517
Encoder_4,no,0.2917
Encoder_4,no,0.2036
Encoder_4,no,0.459
Encoder_4,no,0.6542
Encoder_4,no,0.6094
Encoder_4,no,0.6958
Encoder_4,no,0.8847
Encoder_4,no,0.7987
Encoder_4,no,0.3858
Encoder_4,no,0.2981
Encoder_4,no,0.6319
Encoder_4,no,0.4774
Encoder_4,no,0.7005
Encoder_4,no,0.4387
Encoder_4,no,0.4497
Encoder_4,no,0.2389
Encoder_4,no,0.3384
Encoder_4,no,0.6277
Encoder_4,no,0.1336
Encoder_4,no,0.4324
Encoder_4,no,0.4982
Encoder_4,no,0.352
Encoder_4,no,0.2784
Encoder_4,no,0.446
Encoder_4,no,0.5315
Encoder_4,no,0.4915
Encoder_4,no,0.5238
Encoder_4,no,0.6766
Encoder_4,no,0.3509
Encoder_4,no,0.4861
Encoder_4,no,0.4711
Encoder_4,no,0.1823
Encoder_4,no,-0.0584
Encoder_4,no,0.2608
Encoder_4,no,0.2531
Encoder_4,no,0.5151
Encoder_4,no,0.5838
Encoder_4,no,0.5582
Encoder_4,no,0.6851
Encoder_4,no,0.5018
Encoder_4,no,0.2293
Encoder_4,no,0.6282
Encoder_4,no,0.6266
Encoder_4,no,0.6083
Encoder_4,no,0.3071
Encoder_4,no,0.3243
Encoder_4,no,-0.0381
Encoder_4,no,0.2454
Encoder_4,no,0.3143
Encoder_4,no,0.3622
Encoder_4,no,0.6381
Encoder_4,no,0.7802
Encoder_4,no,0.2826
Encoder_4,no,0.3619
Encoder_4,no,0.3601
Encoder_4,no,0.0966
Encoder_4,no,0.4272
Encoder_4,no,0.4642
Encoder_4,no,0.6712
Encoder_4,no,0.3685
Encoder_4,no,0.7648
Encoder_4,no,-0.0856
Encoder_4,no,0.3604
Encoder_8,yes,0.6977
Encoder_8,yes,0.6468
Encoder_8,yes,0.6955
Encoder_8,yes,0.741
Encoder_8,yes,0.5278
Encoder_8,yes,0.4343
Encoder_8,yes,0.6933
Encoder_8,yes,0.3631
Encoder_8,yes,0.5066
Encoder_8,yes,0.811
Encoder_8,yes,0.6896
Encoder_8,yes,0.6025
Encoder_8,yes,0.6615
Encoder_8,yes,0.4693
Encoder_8,yes,0.7006
Encoder_8,yes,0.5773
Encoder_8,yes,0.3493
Encoder_8,yes,0.5075
Encoder_8,yes,0.5989
Encoder_8,yes,0.7165
Encoder_8,yes,0.6521
Encoder_8,yes,0.5809
Encoder_8,yes,0.2534
Encoder_8,yes,0.4348
Encoder_8,yes,0.6906
Encoder_8,yes,0.3826
Encoder_8,yes,0.5194
Encoder_8,yes,0.5037
Encoder_8,yes,0.4546
Encoder_8,yes,0.3604
Encoder_8,yes,0.3189
Encoder_8,yes,0.8695
Encoder_8,yes,0.6378
Encoder_8,yes,0.3281
Encoder_8,yes,0.7199
Encoder_8,yes,0.6908
Encoder_8,yes,0.3302
Encoder_8,yes,0.6542
Encoder_8,yes,0.702
Encoder_8,yes,0.5943
Encoder_8,yes,0.3819
Encoder_8,yes,0.899
Encoder_8,yes,0.645
Encoder_8,yes,0.6783
Encoder_8,yes,0.7358
Encoder_8,yes,0.6472
Encoder_8,yes,0.4487
Encoder_8,yes,0.7555
Encoder_8,yes,0.6372
Encoder_8,yes,0.6507
Encoder_8,yes,0.8066
Encoder_8,yes,0.4281
Encoder_8,yes,0.7809
Encoder_8,yes,0.748
Encoder_8,yes,0.6771
Encoder_8,yes,0.5764
Encoder_8,yes,0.5403
Encoder_8,yes,0.6826
Encoder_8,yes,0.8104
Encoder_8,yes,0.7157
Encoder_8,yes,0.7218
Encoder_8,yes,0.5649
Encoder_8,yes,0.46
Encoder_8,yes,0.4244
Encoder_8,yes,0.4387
Encoder_8,yes,0.8079
Encoder_8,yes,0.4318
Encoder_8,yes,0.6466
Encoder_8,yes,0.6306
Encoder_8,yes,0.6096
Encoder_8,yes,0.549
Encoder_8,yes,0.6389
Encoder_8,yes,0.6585
Encoder_8,yes,0.5885
Encoder_8,yes,0.6404
Encoder_8,yes,0.7738
Encoder_8,yes,0.7108
Encoder_8,yes,0.2997
Encoder_8,yes,0.2116
Encoder_8,yes,0.7254
Encoder_8,yes,0.6359
Encoder_8,yes,0.662
Encoder_8,yes,0.6823
Encoder_8,yes,0.5852
Encoder_8,yes,0.6271
Encoder_8,yes,0.7435
Encoder_8,yes,0.6183
Encoder_8,yes,0.6919
Encoder_8,yes,0.5002
Encoder_8,yes,0.7408
Encoder_8,yes,0.5217
Encoder_8,yes,0.1915
Encoder_8,yes,0.7157
Encoder_8,yes,0.5801
Encoder_8,yes,0.388
Encoder_8,yes,0.7079
Encoder_8,yes,0.5879
Encoder_8,yes,0.5071
Encoder_8,yes,0.6908
Encoder_8,yes,0.6477
Encoder_8,yes,0.6232
Encoder_8,yes,0.6097
Encoder_8,yes,0.6993
Encoder_8,yes,0.6964
Encoder_8,yes,0.4546
Encoder_8,yes,0.53
Encoder_8,yes,0.599
Encoder_8,yes,0.7294
Encoder_8,yes,0.6859
Encoder_8,yes,0.6621
Encoder_8,yes,0.7367
Encoder_8,yes,0.3509
Encoder_8,yes,0.6479
Encoder_8,yes,0.4874
Encoder_8,yes,0.6821
Encoder_8,yes,0.493
Encoder_8,yes,0.5919
Encoder_8,yes,0.3379
Encoder_8,yes,0.5138
Encoder_8,yes,0.7414
Encoder_8,yes,0.7906
Encoder_8,yes,0.5218
Encoder_8,yes,0.6184
Encoder_8,yes,0.688
Encoder_8,yes,0.5087
Encoder_8,yes,0.6275
Encoder_8,yes,0.8478
Encoder_8,yes,0.6025
Encoder_8,yes,0.3457
Encoder_8,yes,0.3229
Encoder_8,yes,0.583
Encoder_8,yes,0.5876
Encoder_8,yes,0.2637
Encoder_8,yes,0.5531
Encoder_8,yes,0.6403
Encoder_8,yes,0.2356
Encoder_8,yes,0.8329
Encoder_8,yes,0.4682
Encoder_8,yes,0.2817
Encoder_8,yes,0.662
Encoder_8,yes,0.4037
Encoder_8,yes,0.4469
Encoder_8,yes,0.6286
Encoder_8,yes,0.7994
Encoder_8,yes,0.6237
Encoder_8,yes,0.6548
Encoder_8,yes,0.6239
Encoder_8,yes,0.7694
Encoder_8,yes,0.7961
Encoder_8,yes,0.6147
Encoder_8,yes,0.5971
Encoder_8,yes,0.4145
Encoder_8,yes,0.542
Encoder_8,yes,0.7598
Encoder_8,yes,0.552
Encoder_8,yes,0.5872
Encoder_8,yes,0.4997
Encoder_8,yes,0.6164
Encoder_8,yes,0.5536
Encoder_8,yes,0.5481
Encoder_8,yes,0.5042
Encoder_8,yes,0.5131
Encoder_8,yes,0.7161
Encoder_8,yes,0.5878
Encoder_8,yes,0.7993
Encoder_8,yes,0.6806
Encoder_8,yes,0.7144
Encoder_8,yes,0.2472
Encoder_8,yes,0.5123
Encoder_8,yes,0.8321
Encoder_8,yes,0.7341
Encoder_8,yes,0.6187
Encoder_8,yes,0.6386
Encoder_8,yes,0.349
Encoder_8,yes,0.268
Encoder_8,yes,0.8262
Encoder_8,yes,0.605
Encoder_8,yes,0.7785
Encoder_8,yes,0.3775
Encoder_8,yes,0.6503
Encoder_8,yes,0.1516
Encoder_8,yes,0.7044
Encoder_8,yes,0.6079
Encoder_8,yes,0.7213
Encoder_8,yes,0.6157
Encoder_8,yes,0.7145
Encoder_8,yes,0.2235
Encoder_8,yes,0.6338
Encoder_8,yes,0.667
Encoder_8,yes,0.5578
Encoder_8,yes,0.7113
Encoder_8,yes,0.8534
Encoder_8,yes,0.687
Encoder_8,yes,0.6226
Encoder_8,yes,0.8338
Encoder_8,yes,0.6952
Encoder_8,yes,0.7492
Encoder_8,yes,0.664
Encoder_8,yes,0.7571
Encoder_8,yes,0.5049
Encoder_8,yes,0.8585
Encoder_8,yes,0.35
Encoder_8,yes,0.5379
Encoder_8,yes,0.5301
Encoder_8,yes,0.7469
Encoder_8,yes,0.5044
Encoder_8,yes,0.448
Encoder_8,yes,0.3636
Encoder_8,yes,0.5978
Encoder_8,yes,0.6498
Encoder_8,yes,0.6392
Encoder_8,yes,0.7188
Encoder_8,yes,0.5106
Encoder_8,yes,0.7592
Encoder_8,yes,0.7844
Encoder_8,yes,0.4009
Encoder_8,yes,0.5449
Encoder_8,yes,0.7618
Encoder_8,yes,0.441
Encoder_8,yes,0.3936
Encoder_8,yes,0.7461
Encoder_8,yes,0.7602
Encoder_8,yes,0.6743
Encoder_8,yes,0.5074
Encoder_8,yes,0.6539
Encoder_8,yes,0.4787
Encoder_8,yes,0.5696
Encoder_8,yes,0.7345
Encoder_8,yes,0.6392
Encoder_8,yes,0.6397
Encoder_8,yes,0.5761
Encoder_8,yes,0.6729
Encoder_8,yes,0.4722
Encoder_8,yes,0.5283
Encoder_8,yes,0.6389
Encoder_8,yes,0.6244
Encoder_8,yes,0.6876
Encoder_8,yes,0.5895
Encoder_8,yes,0.6716
Encoder_8,yes,0.5674
Encoder_8,yes,0.7163
Encoder_8,yes,0.7081
Encoder_8,yes,0.6337
Encoder_8,yes,0.5231
Encoder_8,yes,0.4416
Encoder_8,yes,0.5632
Encoder_8,yes,0.6075
Encoder_8,yes,0.5309
Encoder_8,yes,0.6451
Encoder_8,yes,0.5542
Encoder_8,yes,0.4809
Encoder_8,yes,0.5336
Encoder_8,yes,0.6688
Encoder_8,yes,0.7803
Encoder_8,yes,0.6364
Encoder_8,yes,0.6248
Encoder_8,yes,0.3757
Encoder_8,yes,0.6878
Encoder_8,yes,0.6554
Encoder_8,yes,0.4547
Encoder_8,yes,0.6304
Encoder_8,yes,0.8207
Encoder_8,yes,0.6496
Encoder_8,yes,0.8133
Encoder_8,yes,0.6806
Encoder_8,yes,0.7174
Encoder_8,yes,0.5413
Encoder_8,yes,0.5683
Encoder_8,yes,0.7126
Encoder_8,yes,0.6095
Encoder_8,yes,0.63
Encoder_8,yes,0.3683
Encoder_8,yes,0.4964
Encoder_8,yes,0.5089
Encoder_8,yes,0.7946
Encoder_8,yes,0.5038
Encoder_8,yes,0.5113
Encoder_8,yes,0.3297
Encoder_8,yes,0.5407
Encoder_8,yes,0.561
Encoder_8,yes,0.7162
Encoder_8,yes,0.607
Encoder_8,yes,0.5207
Encoder_8,yes,0.4822
Encoder_8,yes,0.5712
Encoder_8,yes,0.6391
Encoder_8,yes,0.5398
Encoder_8,yes,0.5259
Encoder_8,yes,0.4686
Encoder_8,yes,0.6109
Encoder_8,yes,0.7259
Encoder_8,yes,0.6747
Encoder_8,yes,0.443
Encoder_8,yes,0.5293
Encoder_8,yes,0.3079
Encoder_8,yes,0.5281
Encoder_8,yes,0.6402
Encoder_8,yes,0.7867
Encoder_8,yes,0.7043
Encoder_8,yes,0.4636
Encoder_8,no,0.6714
Encoder_8,no,0.6683
Encoder_8,no,0.6431
Encoder_8,no,0.2588
Encoder_8,no,0.6379
Encoder_8,no,0.4816
Encoder_8,no,0.6332
Encoder_8,no,0.1677
Encoder_8,no,0.5935
Encoder_8,no,0.6339
Encoder_8,no,0.4088
Encoder_8,no,0.2885
Encoder_8,no,0.7104
Encoder_8,no,0.6028
Encoder_8,no,0.6246
Encoder_8,no,0.363
Encoder_8,no,0.3974
Encoder_8,no,0.7658
Encoder_8,no,0.6661
Encoder_8,no,0.4561
Encoder_8,no,0.7939
Encoder_8,no,0.5996
Encoder_8,no,0.3962
Encoder_8,no,0.5006
Encoder_8,no,0.5639
Encoder_8,no,0.4239
Encoder_8,no,0.7001
Encoder_8,no,0.7367
Encoder_8,no,0.4155
Encoder_8,no,0.3844
Encoder_8,no,0.3546
Encoder_8,no,0.4996
Encoder_8,no,0.5314
Encoder_8,no,0.1226
Encoder_8,no,0.4706
Encoder_8,no,0.4548
Encoder_8,no,0.362
Encoder_8,no,0.4761
Encoder_8,no,0.6338
Encoder_8,no,0.601
Encoder_8,no,0.344
Encoder_8,no,0.4817
Encoder_8,no,0.4345
Encoder_8,no,0.7145
Encoder_8,no,0.6222
Encoder_8,no,0.5396
Encoder_8,no,0.673
Encoder_8,no,0.4402
Encoder_8,no,0.4773
Encoder_8,no,0.6741
Encoder_8,no,0.434
Encoder_8,no,0.52
Encoder_8,no,0.5206
Encoder_8,no,0.5303
Encoder_8,no,0.4268
Encoder_8,no,0.539
Encoder_8,no,0.7684
Encoder_8,no,0.7597
Encoder_8,no,0.7528
Encoder_8,no,0.4065
Encoder_8,no,0.5755
Encoder_8,no,0.4786
Encoder_8,no,0.4909
Encoder_8,no,0.3271
Encoder_8,no,0.6438
Encoder_8,no,0.0933
Encoder_8,no,0.5576
Encoder_8,no,0.4366
Encoder_8,no,0.4908
Encoder_8,no,0.4497
Encoder_8,no,0.5253
Encoder_8,no,0.6067
Encoder_8,no,0.1696
Encoder_8,no,0.4663
Encoder_8,no,0.559
Encoder_8,no,0.5956
Encoder_8,no,0.4822
Encoder_8,no,0.2979
Encoder_8,no,0.6299
Encoder_8,no,0.3499
Encoder_8,no,0.3899
Encoder_8,no,0.5459
Encoder_8,no,0.7258
Encoder_8,no,0.4687
Encoder_8,no,0.7217
Encoder_8,no,0.8704
Encoder_8,no,0.6016
Encoder_8,no,0.3366
Encoder_8,no,0.2109
Encoder_8,no,0.5664
Encoder_8,no,0.5079
Encoder_8,no,0.4746
Encoder_8,no,0.5766
Encoder_8,no,0.4323
Encoder_8,no,0.4035
Encoder_8,no,0.6192
Encoder_8,no,0.8266
Encoder_8,no,0.4133
Encoder_8,no,0.6762
Encoder_8,no,0.6714
Encoder_8,no,0.6195
Encoder_8,no,0.3714
Encoder_8,no,0.4292
Encoder_8,no,0.7447
Encoder_8,no,0.3714
Encoder_8,no,0.3888
Encoder_8,no,0.5242
Encoder_8,no,0.5226
Encoder_8,no,0.2751
Encoder_8,no,0.4853
Encoder_8,no,0.479
Encoder_8,no,0.3254
Encoder_8,no,0.2485
Encoder_8,no,0.4902
Encoder_8,no,0.3738
Encoder_8,no,0.51
Encoder_8,no,0.8121
Encoder_8,no,0.1503
Encoder_8,no,0.5178
Encoder_8,no,0.4042
Encoder_8,no,0.0587
Encoder_8,no,0.7189
Encoder_8,no,0.5468
Encoder_8,no,0.4111
Encoder_8,no,0.4395
Encoder_8,no,0.7981
Encoder_8,no,0.6625
Encoder_8,no,0.3123
Encoder_8,no,0.5259
Encoder_8,no,0.6378
Encoder_8,no,0.4947
Encoder_8,no,0.3511
Encoder_8,no,0.4268
Encoder_8,no,0.3506
Encoder_8,no,0.4874
Encoder_8,no,0.3457
Encoder_8,no,0.5639
Encoder_8,no,0.5305
Encoder_8,no,0.6623
Encoder_8,no,0.52
Encoder_8,no,0.5434
Encoder_8,no,0.5779
Encoder_8,no,0.4769
Encoder_8,no,0.4414
Encoder_8,no,0.5572
Encoder_8,no,0.4865
Encoder_8,no,0.5102
Encoder_8,no,0.3011
Encoder_8,no,0.3739
Encoder_8,no,0.5413
Encoder_8,no,0.4013
Encoder_8,no,0.3599
Encoder_8,no,0.3028
Encoder_8,no,0.5134
Encoder_8,no,0.525
Encoder_8,no,0.7294
Encoder_8,no,0.5248
Encoder_8,no,0.4398
Encoder_8,no,0.562
Encoder_8,no,0.6097
Encoder_8,no,0.586
Encoder_8,no,0.5722
Encoder_8,no,0.4849
Encoder_8,no,0.3786
Encoder_8,no,0.8137
Encoder_8,no,0.4263
Encoder_8,no,0.7223
Encoder_8,no,0.5045
Encoder_8,no,0.3511
Encoder_8,no,0.6558
Encoder_8,no,0.2526
Encoder_8,no,0.495
Encoder_8,no,0.5754
Encoder_8,no,0.3978
Encoder_8,no,0.6513
Encoder_8,no,-0.0084
Encoder_8,no,0.5366
Encoder_8,no,0.3988
Encoder_8,no,0.4932
Encoder_8,no,0.3441
Encoder_8,no,0.5894
Encoder_8,no,0.6878
Encoder_8,no,0.47
Encoder_8,no,0.5245
Encoder_8,no,0.5502
Encoder_8,no,0.8054
Encoder_8,no,0.4855
Encoder_8,no,0.5401
Encoder_8,no,0.5239
Encoder_8,no,0.6822
Encoder_8,no,0.5737
Encoder_8,no,0.6164
Encoder_8,no,0.5101
Encoder_8,no,0.4416
Encoder_8,no,0.8748
Encoder_8,no,0.7336
Encoder_8,no,0.3221
Encoder_8,no,0.5906
Encoder_8,no,0.2102
Encoder_8,no,0.4843
Encoder_8,no,0.3841
Encoder_8,no,0.5037
Encoder_8,no,0.6326
Encoder_8,no,0.3431
Encoder_8,no,0.2541
Encoder_8,no,0.418
Encoder_8,no,0.3195
Encoder_8,no,0.5678
Encoder_8,no,0.395
Encoder_8,no,0.7482
Encoder_8,no,0.624
Encoder_8,no,0.5294
Encoder_8,no,0.4608
Encoder_8,no,0.4356
Encoder_8,no,0.3941
Encoder_8,no,0.5679
Encoder_8,no,0.2907
Encoder_8,no,0.7449
Encoder_8,no,0.5658
Encoder_8,no,0.2387
Encoder_8,no,0.7144
Encoder_8,no,0.3668
Encoder_8,no,0.4472
Encoder_8,no,0.2708
Encoder_8,no,0.833
Encoder_8,no,0.3099
Encoder_8,no,0.5421
Encoder_8,no,0.4924
Encoder_8,no,0.3376
Encoder_8,no,0.5807
Encoder_8,no,0.4555
Encoder_8,no,0.5069
Encoder_8,no,0.3526
Encoder_8,no,0.1668
Encoder_8,no,0.5462
Encoder_8,no,0.4717
Encoder_8,no,0.4722
Encoder_8,no,0.5177
Encoder_8,no,0.7853
Encoder_8,no,0.4572
Encoder_8,no,0.6238
Encoder_8,no,0.2559
Encoder_8,no,0.6096
Encoder_8,no,0.1459
Encoder_8,no,0.3823
Encoder_8,no,0.2416
Encoder_8,no,0.5422
Encoder_8,no,0.2767
Encoder_8,no,0.3795
Encoder_8,no,0.554
Encoder_8,no,0.4604
Encoder_8,no,0.4159
Encoder_8,no,0.6059
Encoder_8,no,0.4064
Encoder_8,no,0.5686
Encoder_8,no,0.1747
Encoder_8,no,0.7576
Encoder_8,no,0.4704
Encoder_8,no,0.6725
Encoder_8,no,0.3763
Encoder_8,no,0.4074
Encoder_8,no,0.5383
Encoder_8,no,0.5579
Encoder_8,no,0.6115
Encoder_8,no,0.2445
Encoder_8,no,0.6192
Encoder_8,no,0.4474
Encoder_8,no,0.3146
Encoder_8,no,0.5168
Encoder_8,no,0.4116
Encoder_8,no,0.3489
Encoder_8,no,0.593
Encoder_8,no,0.4388
Encoder_8,no,0.4125
Encoder_8,no,0.4757
Encoder_8,no,0.7286
Encoder_8,no,0.5082
Encoder_8,no,0.5876
Encoder_8,no,0.4184
Encoder_8,no,0.4653
Encoder_8,no,0.5732
Encoder_8,no,0.3917
Encoder_8,no,0.3304
Encoder_8,no,0.5558
Encoder_8,no,0.607
Encoder_8,no,0.1257
Encoder_8,no,0.4023
Encoder_8,no,0.2725
Encoder_8,no,0.0789
Encoder_8,no,0.5719
Encoder_8,no,0.108
Encoder_8,no,0.6474
Encoder_8,no,0.6703
Encoder_8,no,0.2385
Encoder_8,no,0.516
Encoder_8,no,0.4275
Encoder_8,no,0.4061
Encoder_8,no,0.4656
Encoder_8,no,0.4649
Encoder_8,no,0.5258
Decoder_0,yes,0.7706
Decoder_0,yes,0.6611
Decoder_0,yes,0.7075
Decoder_0,yes,0.8199
Decoder_0,yes,0.7163
Decoder_0,yes,0.814
Decoder_0,yes,0.4451
Decoder_0,yes,0.7497
Decoder_0,yes,0.5291
Decoder_0,yes,0.633
Decoder_0,yes,0.6766
Decoder_0,yes,0.7699
Decoder_0,yes,0.8094
Decoder_0,yes,0.5016
Decoder_0,yes,0.7061
Decoder_0,yes,0.6013
Decoder_0,yes,0.7436
Decoder_0,yes,0.6383
Decoder_0,yes,0.6614
Decoder_0,yes,0.7042
Decoder_0,yes,0.7429
Decoder_0,yes,0.8024
Decoder_0,yes,0.8078
Decoder_0,yes,0.6323
Decoder_0,yes,0.6781
Decoder_0,yes,0.7711
Decoder_0,yes,0.7465
Decoder_0,yes,0.6832
Decoder_0,yes,0.7374
Decoder_0,yes,0.5431
Decoder_0,yes,0.4949
Decoder_0,yes,0.8648
Decoder_0,yes,0.5787
Decoder_0,yes,0.4052
Decoder_0,yes,0.4962
Decoder_0,yes,0.514
Decoder_0,yes,0.6342
Decoder_0,yes,0.6984
Decoder_0,yes,0.5228
Decoder_0,yes,0.7912
Decoder_0,yes,0.6641
Decoder_0,yes,0.7531
Decoder_0,yes,0.6499
Decoder_0,yes,0.8773
Decoder_0,yes,0.5156
Decoder_0,yes,0.6844
Decoder_0,yes,0.601
Decoder_0,yes,0.8086
Decoder_0,yes,0.6179
Decoder_0,yes,0.632
Decoder_0,yes,0.6866
Decoder_0,yes,0.6943
Decoder_0,yes,0.6455
Decoder_0,yes,0.5158
Decoder_0,yes,0.6989
Decoder_0,yes,0.7635
Decoder_0,yes,0.7605
Decoder_0,yes,0.6731
Decoder_0,yes,0.8321
Decoder_0,yes,0.792
Decoder_0,yes,0.7562
Decoder_0,yes,0.7201
Decoder_0,yes,0.7706
Decoder_0,yes,0.6601
Decoder_0,no,0.8688
Decoder_0,no,0.6858
Decoder_0,no,0.6526
Decoder_0,no,0.7688
Decoder_0,no,0.7115
Decoder_0,no,0.7238
Decoder_0,no,0.6265
Decoder_0,no,0.5512
Decoder_0,no,0.488
Decoder_0,no,0.7424
Decoder_0,no,0.6022
Decoder_0,no,0.8164
Decoder_0,no,0.6978
Decoder_0,no,0.8044
Decoder_0,no,0.5807
Decoder_0,no,0.8199
Decoder_0,no,0.6513
Decoder_0,no,0.776
Decoder_0,no,0.6016
Decoder_0,no,0.7294
Decoder_0,no,0.5105
Decoder_0,no,0.5349
Decoder_0,no,0.7385
Decoder_0,no,0.7508
Decoder_0,no,0.6337
Decoder_0,no,0.4879
Decoder_0,no,0.5277
Decoder_0,no,0.6853
Decoder_0,no,0.6336
Decoder_0,no,0.7177
Decoder_0,no,0.7922
Decoder_0,no,0.6972
Decoder_0,no,0.7499
Decoder_0,no,0.6642
Decoder_0,no,0.5654
Decoder_0,no,0.5046
Decoder_0,no,0.758
Decoder_0,no,0.7565
Decoder_0,no,0.5566
Decoder_0,no,0.6205
Decoder_0,no,0.5948
Decoder_0,no,0.8187
Decoder_0,no,0.5659
Decoder_0,no,0.6654
Decoder_0,no,0.5677
Decoder_0,no,0.5294
Decoder_0,no,0.7944
Decoder_0,no,0.8477
Decoder_0,no,0.5465
Decoder_0,no,0.6525
Decoder_0,no,0.6446
Decoder_0,no,0.7499
Decoder_0,no,0.4714
Decoder_0,no,0.6747
Decoder_0,no,0.4093
Decoder_0,no,0.4316
Decoder_0,no,0.7023
Decoder_0,no,0.5822
Decoder_0,no,0.5735
Decoder_0,no,0.3994
Decoder_0,no,0.6597
Decoder_0,no,0.282
Decoder_0,no,0.5114
Decoder_0,no,0.5806
Decoder_4,yes,0.767
Decoder_4,yes,0.6986
Decoder_4,yes,0.4804
Decoder_4,yes,0.6727
Decoder_4,yes,-0.0977
Decoder_4,yes,0.4243
Decoder_4,yes,0.3457
Decoder_4,yes,0.6738
Decoder_4,yes,0.5387
Decoder_4,yes,0.4626
Decoder_4,yes,0.5732
Decoder_4,yes,0.7032
Decoder_4,yes,0.1712
Decoder_4,yes,0.7356
Decoder_4,yes,0.8084
Decoder_4,yes,-0.1076
Decoder_4,yes,0.6833
Decoder_4,yes,0.3338
Decoder_4,yes,0.6976
Decoder_4,yes,0.796
Decoder_4,yes,0.8328
Decoder_4,yes,0.5472
Decoder_4,yes,0.6277
Decoder_4,yes,0.7453
Decoder_4,yes,0.5354
Decoder_4,yes,-0.0505
Decoder_4,yes,0.2852
Decoder_4,yes,0.5669
Decoder_4,yes,0.6873
Decoder_4,yes,0.24
Decoder_4,yes,0.8297
Decoder_4,yes,0.8284
Decoder_4,yes,0.3927
Decoder_4,yes,0.5257
Decoder_4,yes,0.675
