activation,bn_position,model_num,neuron_idx,correlation
LeakyReLU,before_bn,8,55,0.6709
LeakyReLU,before_bn,8,56,0.7782
LeakyReLU,before_bn,8,57,0.6524
LeakyReLU,before_bn,8,58,0.6691
LeakyReLU,before_bn,8,59,0.5537
LeakyReLU,before_bn,8,60,0.7914
LeakyReLU,before_bn,8,61,0.7938
LeakyReLU,before_bn,8,62,0.6294
LeakyReLU,before_bn,8,63,0.6268
LeakyReLU,before_bn,9,0,0.7367
LeakyReLU,before_bn,9,1,0.6846
LeakyReLU,before_bn,9,2,0.8453
LeakyReLU,before_bn,9,3,0.7624
LeakyReLU,before_bn,9,4,0.7323
LeakyReLU,before_bn,9,5,0.7238
LeakyReLU,before_bn,9,6,0.5403
LeakyReLU,before_bn,9,7,0.7185
LeakyReLU,before_bn,9,8,0.6994
LeakyReLU,before_bn,9,9,0.7618
LeakyReLU,before_bn,9,10,0.5959
LeakyReLU,before_bn,9,11,0.7892
LeakyReLU,before_bn,9,12,0.818
LeakyReLU,before_bn,9,13,0.7177
LeakyReLU,before_bn,9,14,0.663
LeakyReLU,before_bn,9,15,0.6758
LeakyReLU,before_bn,9,16,0.7437
LeakyReLU,before_bn,9,17,0.7562
LeakyReLU,before_bn,9,18,0.6563
LeakyReLU,before_bn,9,19,0.5601
LeakyReLU,before_bn,9,20,0.6173
LeakyReLU,before_bn,9,21,0.6076
LeakyReLU,before_bn,9,22,0.7058
LeakyReLU,before_bn,9,23,0.3747
LeakyReLU,before_bn,9,24,0.6115
LeakyReLU,before_bn,9,25,0.7152
LeakyReLU,before_bn,9,26,0.8024
LeakyReLU,before_bn,9,27,0.7301
LeakyReLU,before_bn,9,28,0.7992
LeakyReLU,before_bn,9,29,0.6784
LeakyReLU,before_bn,9,30,0.7704
LeakyReLU,before_bn,9,31,0.7951
LeakyReLU,before_bn,9,32,0.7719
LeakyReLU,before_bn,9,33,0.6699
LeakyReLU,before_bn,9,34,0.7202
LeakyReLU,before_bn,9,35,0.6448
LeakyReLU,before_bn,9,36,0.742
LeakyReLU,before_bn,9,37,0.6532
LeakyReLU,before_bn,9,38,0.6927
LeakyReLU,before_bn,9,39,0.4214
LeakyReLU,before_bn,9,40,0.7584
LeakyReLU,before_bn,9,41,0.7567
LeakyReLU,before_bn,9,42,0.762
LeakyReLU,before_bn,9,43,0.8091
LeakyReLU,before_bn,9,44,0.6973
LeakyReLU,before_bn,9,45,0.65
LeakyReLU,before_bn,9,46,0.7754
LeakyReLU,before_bn,9,47,0.5886
LeakyReLU,before_bn,9,48,0.7639
LeakyReLU,before_bn,9,49,0.6652
LeakyReLU,before_bn,9,50,0.8234
LeakyReLU,before_bn,9,51,0.459
LeakyReLU,before_bn,9,52,0.5697
LeakyReLU,before_bn,9,53,0.8111
LeakyReLU,before_bn,9,54,0.7514
LeakyReLU,before_bn,9,55,0.7091
LeakyReLU,before_bn,9,56,0.5253
LeakyReLU,before_bn,9,57,0.7145
LeakyReLU,before_bn,9,58,0.7326
LeakyReLU,before_bn,9,59,0.5067
LeakyReLU,before_bn,9,60,0.6202
LeakyReLU,before_bn,9,61,0.8262
LeakyReLU,before_bn,9,62,0.7812
LeakyReLU,before_bn,9,63,0.7405
LeakyReLU,before_bn,10,0,0.7984
LeakyReLU,before_bn,10,1,0.7493
LeakyReLU,before_bn,10,2,0.8604
LeakyReLU,before_bn,10,3,0.6113
LeakyReLU,before_bn,10,4,0.7474
LeakyReLU,before_bn,10,5,0.7334
LeakyReLU,before_bn,10,6,0.7294
LeakyReLU,before_bn,10,7,0.6329
LeakyReLU,before_bn,10,8,0.8168
LeakyReLU,before_bn,10,9,0.6799
LeakyReLU,before_bn,10,10,0.7011
LeakyReLU,before_bn,10,11,0.8176
LeakyReLU,before_bn,10,12,0.6973
LeakyReLU,before_bn,10,13,0.6459
LeakyReLU,before_bn,10,14,0.69
LeakyReLU,before_bn,10,15,0.7946
LeakyReLU,before_bn,10,16,0.6956
LeakyReLU,before_bn,10,17,0.713
LeakyReLU,before_bn,10,18,0.5709
LeakyReLU,before_bn,10,19,0.6391
LeakyReLU,before_bn,10,20,0.6769
LeakyReLU,before_bn,10,21,0.5526
LeakyReLU,before_bn,10,22,0.6117
LeakyReLU,before_bn,10,23,0.708
LeakyReLU,before_bn,10,24,0.7217
LeakyReLU,before_bn,10,25,0.7882
LeakyReLU,before_bn,10,26,0.51
LeakyReLU,before_bn,10,27,0.6608
